01/05/2025; 16:44; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 16:44; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:Teste privado
01/05/2025; 16:44; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:teste provado
01/05/2025; 16:44; 127.0.0.1; Vini; 127.0.0.1,127.0.0.1; Vini,Willi; msg:teste all
01/05/2025; 16:56; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 16:56; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 16:56; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 16:56; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 16:57; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 16:57; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 16:57; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:Individual
01/05/2025; 16:57; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:Inidividalk
01/05/2025; 16:57; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 16:58; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 17:00; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 17:00; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 17:00; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:Indivisual
01/05/2025; 17:00; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:Inidi
01/05/2025; 17:01; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 17:02; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 17:05; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 17:05; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 17:05; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 17:05; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 17:06; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 17:06; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 17:06; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 17:06; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 17:13; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 17:13; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 17:13; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:Indi
01/05/2025; 17:13; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:Inidi
01/05/2025; 17:13; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 17:13; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 17:15; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 17:15; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 17:15; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:inidi
01/05/2025; 17:15; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:inidi
01/05/2025; 17:15; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 17:16; 127.0.0.1; Willi; TODOS; TODOS; logoff
